abandonar,'f. Ámbito más allá de la muerte'
lugar,'m. Nombre vulgar de varias aves paseriformes del mismo género que el mirlo El común tiene el dorso de color pardo y el pecho claro con pequeñas motas Vive en durante el invierno'
lujo,'tr. Sahumar aromatizar algo quemando materias olorosas U. t. c. prnl.'
luminosidad,'m. Masa de arcilla en forma de paralelepípedo rectangular que después de cocida sirve para construir muros solar habitaciones etc.'
lupa,'m. Vaso de cuello recogido hecho de vidrio u otra materia que sirve para contener líquidos sustancias en polvo comprimidos etc.'
lustrar,'f. Cualidad de denso'
lágrima,'intr. Estar detenerse forzosa o voluntariamente en un lugar U. t. c. prnl.'
lámpara,'adj. Anat. Perteneciente o relativo a la neurona'
lápiz,'intr. morir llegar al término de la vida'
límite,'adj. Perteneciente o relativo al feminismo'
línea,'m. Inclinación de una persona a realizar actos contrarios a la moral establecida'
lúgubre,'adj. Cinco veces mayor o que contiene una cantidad cinco veces exactamente U. t. c. s. m.'
machista,'f. Palo afilado en un extremo para clavarlo'
madera,'tr. Engalanar con adornos U. t. c. prnl.'
madre,'intr. Ir o pasar de fuera adentro U. t. c. prnl. U. t. en sent. fig.'
madrugar,'intr. Dicho de la corriente de las aguas y también del viento de las hojas de los árboles etc.: Hacer ruido blando y apacible'
madurar,'tr. Ejecutar algo a ejemplo o semejanza de otra cosa'
malcriar,'adj. Anat. Perteneciente o relativo al ombligo'
maldecir,"'pron. relat. m., f. y n. Introduce una oración relativa y refiere a un antecedente expreso generalmente nominal'"
maletín,'m. Parte del cuerpo que une la cabeza con el tronco'
malherir,'tr. Cortar a alguien a ras de la piel la barba el bigote o el pelo de cualquier parte del cuerpo  U. m. c. prnl. refl.'
malversar,'m. Especie de maleta pequeña'
manantial,'f. Acción de recaudar'
mandato,'adj. Dicho de dos o más personas Que tienen un mismo parecer dictamen voluntad o sentimiento'
maniobra,'f. Conjunto de barcos mercantes de un país de una compañía de navegación o de una línea marítima'
manipular,'m. duraznero variedad de melocotonero'
manjar,'f. Sistema de transmisión de imágenes a distancia a través de diferentes medios electromagnéticos y que se reproducen posteriormente en un aparato receptor'
mantener,'intr. Dicho de una cosa Ser real y verdadera'
manía,'tr. Alargar dilatar o extender algo a lo largo U. t. c. prnl.'
mapa,'f. Acción y efecto de habitar'
maquillar,'adj. Perteneciente o relativo a los ojos'
mar,"'f. Institución de enseñanza superior que comprende diversas facultades y que confiere los grados académicos correspondientes Según las épocas y países puede comprender colegios institutos departamentos centros de investigación escuelas profesionales etc. Universidad de Salamanca,'"
maravillar,'adj. Que resiste o es capaz de resistir'
marcha,'f. Facilidad en perdonar o disimular las culpas o en conceder gracias'
margarita,'pron. indef. m. y f. Cualquier persona o cualquiera  U. especialmente en Am.'
marginar,'adj. Que tiene eficacia'
marinar,'f. Arbusto mexicano del cual se extrae un aceite usado en cosmética'
martillar,'m. Producto o utilidad que rinde o da alguien o algo'
masajear,'tr. Encomendar a alguien que vaya a alguna parte'
mayor,'tr. Formar programas previa declaración de lo que se piensa hacer y anuncio de las partes de que se ha de componer un acto o espectáculo o una serie de ellos'
maíz,'adj. Que tolera o es propenso a la tolerancia'
mecha,'m. Facultad del ser humano para discurrir o inventar con prontitud y facilidad'
mediar,'adj. Que pica'
medicar,'adj. Perteneciente o relativo a la infancia o a los niños'
medieval,'f. Procedimiento electrostático que utilizando conjuntamente la fotoconductividad y la atracción eléctrica concentra polvo colorante en las zonas negras o grises de una imagen registrada por la cámara oscura en una placa especial La imagen con el polvo colorante adherido pasa a un papel donde se fija mediante la acción del calor o de ciertos vapores'
medir,'m. Electr. vatio.'
mejorar,'m. Capa interna de las tres que forman la concha de los moluscos constituida por la mezcla de carbonato de calcio y una sustancia orgánica y dispuesta en láminas paralelas entre sí Cuando estas son lo bastante delgadas para que la luz se difracte al atravesarlas producen reflejos irisados característicos'
memorable,'intr. Avanzar mejorar hacer adelantos en determinada materia'
mencionar,'f. Planeta que habitamos'
menear,'m. Árbol de la familia de las yuglandáceas de unos quince metros de altura con tronco corto y robusto del cual salen gruesas y vigorosas ramas para formar una copa grande y redondeada hojas compuestas de hojuelas ovales puntiagudas dentadas gruesas y de olor aromático flores blanquecinas de sexos separados y por fruto la nuez Su madera es dura homogénea de color pardo rojizo veteada capaz de hermoso pulimento y muy apreciada en ebanistería y el cocimiento de las hojas se usa en medicina como astringente y contra las escrófulas'
mentira,'m. Enunciado de sentido artificiosamente encubierto para que sea difícil de entender o interpretar'
mercantil,'tr. Hacer que coincidan en el tiempo dos o más movimientos o fenómenos'
meter,'tr. Dar noticia de algún hecho'
mezclar,'tr. Conducir a alguien al interior de un lugar'
miel,'f. Fisiol. Pigmento biliar de color amarillo'
migaja,'m. Fon. Desaparición de la diferencia fonológica entre la consonante lateral palatal y la fricativa palatal sonora de manera que en la pronunciación no se distinguen palabras como  y'
milagro,'adj. Que corroe o tiene actividad corrosiva'
mirar,'f. Virtud que consiste en el conocimiento de las propias limitaciones y debilidades y en obrar de acuerdo con este conocimiento'
misterio,'interj. U. para expresar júbilo'
moldear,'intr. No ajustarse al sentir o parecer de alguien'
molino,'f. Acción y efecto de invitar o ser invitado'
monopolio,'m. Cosa producida'
monstruo,'adj. Cuatro más uno U. t. c. pron. —¿'
monte,'f. Vallado o estacada para defensa'
monumental,'interj. U. como salutación familiar'
monólogo,'f. Utensilio compuesto por un haz de ramas flexibles o de filamentos de otro material sujetos normalmente al extremo de un palo o de un mango largo que sirve para limpiar el suelo'
moralista,'m. Dirección o carrera'
mordaz,'m. En colonia agrícola de producción y consumo comunitarios'
movimiento,'m. Acción de emplear'
mueble,'m. Reproductor portátil de casetes provisto de auriculares'
mueca,'m. Pedazo desgarrado del vestido o de otra ropa'
mujer,'m. Predominio e influencia determinantes especialmente en el campo de la economía por parte de antiguas potencias coloniales naciones poderosas y empresas internacionales sobre países descolonizados o en vías de desarrollo'
multinacional,'adj. Que pende'
multiplicar,'adj. Que está sin ocupar'
mundo,'f. Técnica empleada en medicina y que permite la exploración del interior del cuerpo mediante ultrasonidos'
municipio,'adj. Que solo ocurre o actúa en alguna ocasión'
muralla,'m. Repugnancia a la comida'
murmurar,'m. Árbol originario de de la familia de las mirtáceas que puede llegar hasta m de altura con tronco derecho y copa cónica hojas persistentes olorosas glaucas coriáceas lanceoladas y colgantes flores amarillas axilares y fruto capsular de tres a cuatro celdas con muchas semillas El cocimiento de las hojas es febrífugo la corteza da un buen curtiente y la madera sirve para la construcción y carretería aunque es de fibra torcida El árbol es de gran utilidad para sanear terrenos pantanosos'
mutilar,'tr. Pleitear disputar en juicio sobre algo'
máscara,'m. Duración de las cosas sujetas a mudanza'
médano,'f. Cualidad de urgente'
músculo,'adj. Dicho de una recta o de un plano Que es perpendicular a un plano horizontal'
nabo,'tr. Reducir a fragmentos U. t. c. prnl.'
nacer,'tr. Dicho de una persona Tomar lo que le dan o le envían'
nación,'f. Acción y efecto de indagar'
nada,'tr. Apreciar o tasar algo'
nadar,'adj. Perteneciente o relativo al mercader a la mercancía o al comercio'
nafta,'m. Bot. Tejido leñoso de las plantas vasculares que transporta principalmente agua y minerales de una parte a otra de estos organismos'
naftalina,'adj. Que no requiere gran esfuerzo habilidad o capacidad'
nailon,'f. Acción y efecto de hidratar'
naipe,'tr. Trasladar transferir'
nalga,'f. Instrumento de hierro formado por una barra de la que salen unos ganchos que unido a una cadena se lanza al fondo del agua para sujetar la embarcación U. t. en sent. fig.'
nanotecnología,'tr. Descubrir o hacer patente lo que está cerrado u oculto   U. t. c. prnl.'
naranja,'m. Caudal corto de agua casi continuo'
narcisista,'adj. Que no tiene tolerancia U. t. c. s.'
nardo,'f. Acción y efecto de solicitar'
narración,'tr. Separar con más o menos violencia las partes de un todo deshaciendo su unión U. t. c. prnl.'
nasal,'tr. Aplicar cosméticos a alguien o a una parte de su cuerpo especialmente su rostro para embellecer o modificar su aspecto U. t. c. prnl.'
nata,'m. Elemento químico de núm. atóm. perteneciente al grupo de los gases nobles escaso en la corteza terrestre y muy abundante en el universo en el aire atmosférico y en algunos yacimientos de gas natural usado para llenar lámparas incandescentes y globos aerostáticos Símb.'
natación,'m. Ruido y rumor que causa la concurrencia de mucha gente'
natal,'adj. Que favorece'
naturalismo,'tr. Celebrar con risa algo'
naturalizar,'adj. Confinante aledaño'
naufragar,"'adj. Que no participa de ninguna de las opciones en conflicto Apl. a pers., u. t. c. s.'"
navaja,'m. Pierna trasera del cerdo curada o cocida entera'
naval,'m. Colocación de las cosas en el lugar que les corresponde Era u. t. c. f.'
navegar,'f. Acción y efecto de probar'
nazismo,'f. Estado o condición de siervo'
naíf,'intr. Dicho de una parte del organismo animal Agitarse con ligero temblor'
neblina,'adj. Dicho de un animal Muy comedor'
nebulizar,'tr. Hacer distinción conocer la diversidad de las cosas'
neceser,'f. Acción y efecto de ubicar'
necesidad,'tr. Ver un objeto tenue o confusamente por la distancia o falta de luz'
necrología,'adj. Que yace'
nefrología,'tr. Clavar algo punzante en alguien o algo  U. t. c. prnl.'
negar,'f. Sentimiento que obliga a una persona a estimar el beneficio o favor que otra le ha hecho o ha querido hacer y a corresponderle de alguna manera'
negligente,'m. Cuerpo celeste sin luz propia que gira en una órbita elíptica alrededor de una estrella en particular los que giran alrededor del Sol la Tierra y'
negociar,'f. Masa de harina con otros ingredientes de forma redonda que se cuece a fuego lento'
neocolonialismo,'tr. Administrar o prescribir medicinas U. t. c. prnl.'
neologismo,'f. Cada una de las gotas que segrega la glándula lagrimal U. m. en pl.'
nervio,'m. Proposición que no necesita prueba particular y se deduce con facilidad de lo demostrado previamente'
neumonía,'f. Forma de expresión habitual oral o escrita no sujeta a las reglas del verso'
neuronal,'f. Parte alta de la cerviz correspondiente al lugar en que se une la columna vertebral con la cabeza'
neurosis,'f. Cierto género de pastel compuesto de queso y masa'
neutral,'f. Cualidad de rígido'
neutrón,'m. Artrópodo de respiración traqueal con el cuerpo dividido distintamente en cabeza tórax y abdomen con un par de antenas y tres de patas y que en su mayoría tienen uno o dos pares de alas y sufren metamorfosis durante su desarrollo U. t. en pl. como taxón.'
nexo,'tr. Sentir y percibir el sabor de las cosas'
neón,'adj. Que propende a ver y juzgar las cosas en su aspecto más favorable U. t. c. s.'
nido,'adj. Dicho de un color Semejante al de la hierba fresca o al de la esmeralda y que ocupa el cuarto lugar en el espectro luminoso U. t. c. s. m.'
nieve,'tr. Hacer que cese el fuego o la luz U. t. c. prnl.'
nihilista,'tr. Edificar materialmente una ciudad un colegio un hospital etc.'
ningunear,'m. Tejido vegetal constituido por células en las que la celulosa de su membrana ha sufrido una transformación química y ha quedado convertida en suberina Se encuentra en la zona periférica del tronco de las ramas y de las raíces generalmente en forma de láminas delgadas pero puede alcanzar un desarrollo extraordinario hasta formar capas de varios centímetros de espesor como en la corteza del alcornoque'
nirvana,'m. Mamífero marsupial arborícola parecido a un oso pequeño propio de los eucaliptales australianos'
nivelar,'m. Rodal de monte consumido del todo o en parte por el fuego'
noble,'f. Privación del juicio o del uso de la razón'
noche,'f. Acción de llover'
noción,'adj. Dotado de una sensibilidad superior a la normal'
nodriza,'adj. Fuerte y robusto en su línea'
nogal,'f. Falta de decisión'
nombrar,'adj. Perteneciente o relativo al origen'
nominalizar,'f. Composición o mezcla de varias sustancias comestibles desleídas que se hace para aderezar o condimentar la comida'
nominar,'f. Parte del día comprendida entre la puesta del sol y el amanecer'
noquear,'f. Fuerza o actividad esencial mediante la que obra el ser que la posee'
normal,'tr. Dep. En el boxeo dejar al adversario fuera de combate'
nota,'m. Corindón cristalizado de color azul'
notable,'m. Producto obtenido por maduración de la cuajada de la leche con características propias para cada uno de los tipos según su origen o método de fabricación'
notificar,'m. Hecho no explicable por las leyes naturales y que se atribuye a intervención sobrenatural de origen divino'
novedad,'f. Acción y efecto de revolver o revolverse'
novelar,'f. Acción y efecto de reunir'
nube,'tr. Dar principio a una cosa con cierta solemnidad'
nuca,'f. Conjunto de los maleantes especialmente de los organizados en bandas y con normas de conducta particulares'
nudista,'m. Edificio o recinto cubierto por una carpa con gradería para los espectadores que tiene en medio una o varias pistas donde actúan malabaristas payasos equilibristas animales amaestrados etc.'
nuez,'m. Fenómeno que permite conocer o inferir la existencia de otro no percibido'
nutria,'tr. Adelantar acrecentar algo haciéndolo pasar a un estado mejor'
nácar,'f. Regla fija a la que está sometido un fenómeno de la naturaleza'
náhuatl,'tr. Dotar de tripulación a un barco o a un aparato de locomoción aérea'
néctar,'m. Meteoro luminoso consistente en un cerco de colores pálidos que suele aparecer alrededor de los discos del Sol y de la Luna'
obediente,'adj. Constituido por un solo elemento no compuesto'
obesidad,'tr. Cometer traición'
obligación,'m. duna.'
obnubilar,'intr. Dicho de un pájaro o de una persona gorjear.'
obra,'tr. Moler o desmenuzar una materia sólida sin reducirla enteramente a polvo'
obsequio,'f. Corte en una superficie o en un cuerpo sólido cuando no llega a dividirlos del todo'
observar,'f. Terreno de mayor extensión que el huerto en que se cultivan verduras legumbres y árboles frutales'
obsesión,'adj. Digno de veneración de respeto'
obstaculizar,'f. Cada uno de los filamentos que entran en la composición de los tejidos orgánicos vegetales o animales'
obstruir,'m. Parte superior y lateral del tronco del ser humano y de los cuadrumanos de donde nace el brazo'
obtener,'m. Agua convertida en cuerpo sólido y cristalino por un descenso suficiente de temperatura'
obturar,'f. p. us. Superficie que tiene áreas o sea hectáreas'
obviar,'f. Cualidad de elegante'
ocasional,'m. Movimiento alternativo de un cuerpo que después de recorrer una línea vuelve a describirla en sentido contrario'
ocaso,'m. Multitud de abejas con su maestra que juntas salen de una colmena para formar otra colonia'
ocluir,'f. Acción y efecto de usurpar'
ocular,'m. Vestido completo de una persona'
ocultar,'tr. Señalar con incisión o abrir y labrar en hueco o en relieve sobre una superficie un letrero una figura o una representación de cualquier objeto'
ocupación,'adj. Dicho de una persona o de una cosa Que equivale a otra U. t. c. s. m.'
ocurrir,'adj. Perteneciente o relativo al abismo'
ofender,'f. Pieza cóncava y pequeña de barro u otra materia y de forma común u ordinaria que sirve para contener especialmente líquidos o cosas destinadas a la alimentación'
ofertar,'tr. Ajar o injuriar'
oficina,'tr. atar.'
oficio,'adj. Dicho de una planta Que ha crecido sin ser cultivada'
ofrecer,'m. Leche fermentada artificialmente y que contiene ácido láctico alcohol y ácido carbónico'
ojo,'intr. Admitir como cierto o conveniente lo que otra persona ha afirmado o propuesto antes'
oleaje,'f. Conocimiento seguro y claro de algo'
olfatear,'f. Med. Conjunto de los procedimientos terapéuticos encaminados a restablecer la normalidad de los movimientos del cuerpo humano'
olla,'f. Acción de prender agarrar'
olor,'adj. Perteneciente o relativo al patriarca y a su autoridad y gobierno'
olvidar,'f. Vasija redonda de barro o metal que comúnmente forma barriga con cuello y boca anchos y con una o dos asas la cual sirve para cocer alimentos calentar agua etc.'
ombligo,'m. Baile de origen alemán que ejecutan las parejas con movimiento giratorio y de traslación Se acompaña con una música de ritmo ternario cuyas frases constan generalmente de compases en aire vivo'
ombú,'adj. Perteneciente o relativo al cielo'
omisión,'m. Falta o delito cometido por ignorancia o malicia contra los preceptos y reglas de un arte y absolutamente contra las leyes divinas y humanas'
omnipotencia,'f. Red alargada gruesa y poco tupida por lo común de pita lona u otro tejido resistente la cual asegurada por las extremidades en dos árboles u otros soportes queda pendiente en el aire y sirve de cama y columpio o bien se usa como medio de transporte conducida por dos personas'
ondear,'f. Establecimiento público donde se da a los niños la instrucción primaria'
onomatopeya,'f. Mujer que ha concebido o ha parido uno o más hijos'
opacar,'tr. coloq. Dar golpes a alguien o algo con los pies o con las patas'
opcional,'adj. Perteneciente o relativo a un monumento obra pública'
operar,'m. Planta de la familia de las gramíneas con cañas delgadas de unos cm de largo hojas estrechas agudas más cortas que la vaina y flores en panoja abierta pocas en número y con arista en el cascabillo'
opinión,'m. Dulce blando y esponjoso hecho generalmente con harina huevos y azúcar que se cuece en el horno'
opio,'m. Ave corredora americana muy veloz que habita las grandes llanuras se alimenta de plantas e insectos y anida como el avestruz en depresiones del terreno'
oponer,'tr. Poner a alguien o algo en lugar de otra persona o cosa'
optar,"'f. Décima letra del alfabeto griego Κ, κ que corresponde a la  del latino y que en esa lengua y en los idiomas neolatinos se ha sustituido en general por la  p. ej.,'"
optimista,'m. En el lenguaje diplomático resolución terminante y definitiva comunicada por escrito'
opuesto,'f. hojalata.'
oral,'m. Ave rapaz nocturna indígena de de unos cm de altura de color mezclado de rojo y negro calzada de plumas con el pico corvo los ojos grandes y colocados en la parte anterior de la cabeza sobre la cual tiene unas plumas alzadas que parecen orejas'
orar,'adj. Que empieza'
orden,'tr. Vedar o impedir el uso o la ejecución de algo'
oreja,'tr. Quebrantar leyes órdenes etc.'
organización,'f. Línea descrita en el plano o en el espacio por un cuerpo en movimiento'
orientación,'intr. Derramar lágrimas U. t. c. tr.'
original,'m. Anat. Segunda porción del intestino delgado de los mamíferos situada entre el duodeno y el íleon'
ornamental,'m. Vino blanco y fino que se cría y elabora en los términos municipales de y en'
oro,'m. Terreno abundante en mineral de yeso que se puede beneficiar'
orquesta,'f. Instrumento formado por un mango y una superficie oval generalmente un bastidor con una red de cuerdas tensadas que se emplea para golpear la pelota o el volante en juegos como el tenis el bádminton el pimpón etc.'
ortografía,'m. Instrumento musical de percusión formado por láminas generalmente de madera ordenadas horizontalmente según su tamaño y sonido que se hacen sonar golpeándolas con dos baquetas'
oscilar,'tr. Hacer trazos'
oscuridad,'tr. Zarandear de un lado a otro a alguien o algo'
ostentar,'m. Quím. Sal ácida del ácido carbónico'
otorgar,'m. Planta de la familia de las gramíneas con el tallo grueso de uno a tres metros de altura según las especies hojas largas planas y puntiagudas flores masculinas en racimos terminales y las femeninas en espigas axilares resguardadas por una vaina Es indígena de la tropical se cultiva en y produce mazorcas con granos gruesos y amarillos muy nutritivos'
otoño,'f. Cualidad de viejo'
ovacionar,'tr. Causar enfado U. t. c. prnl.'
oxidar,'m. Pintura o efigie principalmente de una persona'
oxígeno,'tr. Llevar a alguien o algo de un lugar a otro'
oxímoron,'tr. Decir el nombre de alguien o algo'
oír,'f. Planta hortense comestible anual de la familia de las quenopodiáceas con tallo ramoso hojas radicales estrechas agudas y suaves con pecíolos rojizos flores dioicas sin corola y semillas redondas o con cuernecillos según las variedades'
paisaje,'m. Cónyuge masculino de la hija o del hijo de una persona'
palabra,'adj. De una sola dimensión'
palanca,'adj. Uno más uno U. t. c. pron. —¿'
paralizar,'m. Sustancia que introducida en un ser vivo es capaz de producir graves alteraciones funcionales e incluso la muerte'
partir,'adj. Dicho de una persona Que está en la juventud U. t. c. s.'
pasear,'f. Acción y efecto de improvisar'
pasividad,'f. Lugar donde se hacen o venden zapatos'
pastel,'tr. Dicho de una persona Dejar de tener o no hallar aquello que poseía sea por culpa o descuido del poseedor sea por contingencia o desgracia'
patear,'tr. Pillar desprevenido'
patriarcal,'f. Sustancia espesa untuosa blanca o un tanto amarillenta que forma una capa sobre la leche que se deja en reposo'
peculiar,'f. Letra'
pedalear,'m. Acción y efecto de quebrantar o quebrantarse'
pegar,'tr. Dar lustre y brillantez a algo como metales y piedras'
peinar,'tr. Sentir placer o alegría a causa de algo'
pendiente,'tr. Hacer pasar algo por un filtro'
perder,'f. Burla fina y disimulada'
perdonar,'f. Inflamación del hígado'
perfumar,'f. Consideración y aprecio que se hace de alguien o algo por su calidad y circunstancias'
perjudicar,'tr. Dar celeridad U. t. c. prnl.'
permitir,'adj. p. us. bimestral.'
persona,'f. Planta herbácea de la familia de las compuestas con tallo ramoso de a cm de altura hojas grandes radicales blandas nerviosas trasovadas enteras o serradas flores en muchas cabezuelas y de pétalos amarillentos y fruto seco gris comprimido con una sola semilla Es originaria de la se cultiva en las huertas y hay de ella muchas variedades Las hojas son comestibles y del tallo se puede extraer abundante látex de sabor agradable'
persuadir,'m. Condición de las personas instituciones y cosas a las que no es lícito censurar o mencionar'
picante,'adj. Digno de nota atención o cuidado'
pinchar,'m. Especie de lecho que forman las aves con hierbas pajas plumas u otros materiales blandos para poner sus huevos y criar los pollos Unas utilizan con tal fin los agujeros de las peñas ribazos troncos o edificios otras lo construyen de ramas o de barro o de sustancias gelatinosas dándole forma cóncava y lo suspenden de los árboles o lo asientan en ellos en las rocas o en las paredes y algunas prefieren el suelo sin otro abrigo que la hierba y la tierra'
pintar,'f. Acción y efecto de entrevistar o entrevistarse'
pirata,'adj. Excelso eminente de elevación extraordinaria U. m. en sent. fig. apl. a cosas morales o intelectuales'
pirámide,'m. Producto lácteo obtenido mediante reducción por evaporación y fermentación bacteriana de la leche'
pisar,'m. Modo especial de proceder o conducirse adquirido por repetición de actos iguales o semejantes u originado por tendencias instintivas'
plagio,'adj. Perteneciente o relativo a una región'
plan,'m. Material duro frágil y transparente o traslúcido sin estructura cristalina obtenido por la fusión de arena silícea con potasa y moldeable a altas temperaturas'
planear,'m. Sentimiento intenso causado por algo terrible y espantoso'
planeta,'adj. Que se puede ver'
planta,'tr. No hacer caso de alguien no tomarlo en consideración'
plataforma,'m. y f. Persona diestra en la equitación'
plenitud,'f. baile acción de bailar'
policía,'m. Am. jardín de infancia.'
popular,'tr. Dar brillo a la superficie de algo'
posible,'tr. Salvar de un salto un espacio o distancia'
positividad,'m. Acción y efecto de resumir o resumirse'
poste,'tr. Aplaudir o aclamar con vítores a alguien o algo'
pozo,'tr. Coger a quien huye o va deprisa'
practicar,'m. Med. Acumulación de sangre en un tejido por rotura de un vaso sanguíneo'
precipicio,'f. Interrogación que se hace para que alguien responda lo que sabe de un negocio u otra cosa'
preferir,''
pregunta,'adj. Que se pega ase o prende a una cosa y es dificultoso de separar'
prestar,'tr. Dirigir a Dios o a personas santas oraciones de contenido religioso'
prestigio,'m. Ciudad o villa'
prevención,'tr. comenzar dar principio a algo'
primaveral,'f. Copia fotográfica obtenida por medio de la xerografía'
prisión,'tr. Alumbrar dar luz o bañar de resplandor'
probable,'intr. Dicho de un ser vivo Salir del vientre materno del huevo o de la semilla'
procesar,'adj. Que puede ser o suceder'
producto,'tr. Ver con atención y cuidado'
programar,'tr. Hacer movimientos voluntarios o involuntarios de tal modo que algo pase de la boca hacia el estómago U. t. c. prnl.'
progresar,'f. Cada uno de los órganos contenidos en las principales cavidades del cuerpo humano y de los animales'
prohibir,'adj. Dicho de dos o más cosas Que tienen la misma forma'
prolongar,'tr. Indagar para descubrir algo'
prometer,'tr. Cubrir un objeto parcial o totalmente ciñéndolo de tela papel u otra cosa análoga'
pronóstico,'tr. Sujetar derrotar o rendir al enemigo'
prosa,'m. Órgano o cada uno de los dos órganos de la respiración del hombre y de los vertebrados que viven o pueden vivir fuera del agua de estructura esponjosa blando flexible que se comprime y se dilata y ocupa una parte de la cavidad torácica'
protagonista,'f. Acción y efecto de invadir'
proteger,'prep. Denota el sentido de un movimiento una tendencia o una actitud'
provocar,'tr. Grabar letreros en metal piedra u otra materia'
proyectar,'m. espicanardo.'
prueba,'adj. Digno de adoración'
publicar,'m. Solución de continuidad interrupción o separación espacial o temporal'
pueblo,'tr. Comprometerse a dar hacer o decir algo'
puerto,'m. nudo unión lazo'
pulmón,'adj. Perteneciente o relativo al tacto'
puntual,'tr. Trasladar plantas del sitio en que están arraigadas y plantarlas en otro'
purificar,'adj. Liso y blando al tacto sin tosquedad ni aspereza'
párpado,'m. Mitad de la superficie de la esfera terrestre que resulta al ser dividida esta por un círculo máximo especialmente el ecuador o un meridiano'
que,'adj. Que carece de razón Apl. a animales u. t. c. s.'
quebracho,'f. Aquello que dirige o encamina'
quebrada,'f. Niebla poco espesa y baja'
quebranto,'tr. Irritar a alguien ponerlo furioso U. t. c. prnl.'
quechua,'tr. Cubrir o cerrar lo que está descubierto o abierto'
quedar,'m. Altitud o nivel'
quehacer,'m. Máquina o ingenio electrónico programable que es capaz de manipular objetos y realizar diversas operaciones'
queja,'m. andrajo pedazo o jirón de tela'
quemado,'m. Orden o precepto que el superior da a los súbditos'
querella,'m. Acción y efecto de pronosticar'
querellante,'m. Recipiente donde se dejan la ceniza y residuos del cigarro'
quesadilla,'m. Conjunto de bestias que se apacientan y andan juntas'
queso,'intr. Dicho de un cuerpo Moverse alrededor de otro por la atracción gravitatoria'
quienquiera,'adj. Que resplandece'
quietud,'m. Órgano de la vista en el ser humano y en los animales'
quijada,'tr. Tomar o elegir una o más cosas o personas entre otras U. t. c. intr.'
quimera,'f. En la antigua género teatral en verso que con ayuda de un coro y varios actores desarrolla temas de la antigua épica centrados en el sufrimiento la muerte y las peripecias dolorosas de la vida humana con un final funesto y que mueve a la compasión o al espanto'
quince,'tr. Proveer a alguien del alimento necesario U. t. c. prnl.'
quiniela,'tr. Producir algo darle el primer ser'
quitamanchas,'tr. Inclinar y torcer algo hacia un lado U. t. c. intr. y c. prnl.'
quitapenas,'f. Cualidad de serio'
quitar,'f. Cada una de las dos porciones carnosas y redondeadas situadas entre el final de la columna vertebral y el comienzo de los muslos U. m. en pl.'
quizás,'f. Derecha política de ideología extremista'
quíntuple,'tr. Lanzar dirigir hacia delante o a distancia'
racional,'tr. Poner duro algo U. t. c. prnl.'
ramo,'f. Inform. Red informática'
raqueta,'tr. Forzar a algo o a alguien a que retroceda'
rastro,'intr. impers. Haber o sonar truenos'
rayo,'f. Geom. Superficie curva formada por los puntos que equidistan de otro interior llamado centro'
razonable,'m. Pieza de la armadura antigua que resguardaba la cabeza y el rostro y se componía de morrión visera y babera'
realidad,'m. Máquina para moler compuesta de una muela una solera y los mecanismos necesarios para transmitir y regularizar el movimiento producido por una fuerza motriz como el agua el viento el vapor u otro agente mecánico'
rebeldía,'f. Vehículo destinado al transporte de heridos y enfermos y de elementos de cura y auxilio'
recaudación,'intr. Dicho del cuerpo Exudar a través del tegumento U. t. c. prnl.'
rechazar,'tr. Hacer que alguien venga al estado de pobreza'
recibir,'tr. Adquirir el conocimiento de algo por medio del estudio o de la experiencia U. t. c. intr.'
reciclar,'m. Sistema japonés de lucha que hoy se practica también como deporte y que tiene por objeto principal defenderse sin armas mediante llaves y movimientos aplicados con destreza'
reciente,'tr. Probar algo con razones convincentes testigos o documentos'
recreo,'tr. Coser la rotura de una tela juntando los pedazos con puntadas o pasos ordenados de modo que la unión resulte disimulada'
recuperar,'f. Expresión o manifestación contraria a lo que se sabe se piensa o se siente'
redactar,'f. Daño o detrimento corporal causado por una herida un golpe o una enfermedad'
redundante,'adj. Mucho más grande de lo normal'
refaccionar,'f. Materia caracterizada por un conjunto específico y estable de propiedades'
reflejar,'tr. Hacer rica a una persona comarca nación fábrica industria u otra cosa U. m. c. prnl.'
refrescante,'m. Voz que emite con fuerza el perro más o menos parecida a la onomatopeya'
regional,'tr. Causar admiración a alguien'
registrar,'f. Cuenta en que se detallan con su precio los artículos vendidos o los servicios realizados y que se entrega al cliente para exigir su pago'
regla,'tr. Desenredar y componer el cabello U. t. c. prnl.'
regresar,'f. Vasija pequeña por lo común de loza o de metal y con asa empleada generalmente para tomar líquidos'
rejilla,'f. Cualidad de curioso'
relacionar,'m. Sacudida violenta de la corteza y manto terrestres ocasionada por fuerzas que actúan en el interior de la Tierra'
relajante,'m. Parte de un territorio que puede ser observada desde un determinado lugar'
relato,'adj. Libre de culpa U. t. c. s.'
relevante,'f. Cualidad de finito'
religión,'tr. Poner término a algo'
reloj,'tr. Referir un suceso con forma o apariencia de novela'
remo,'f. Naftaleno utilizado contra la polilla y como desinfectante'
remolino,'tr. Examinar atentamente'
remolque,"'m. Conjunto ordenado de documentos que una persona una sociedad una institución etc., producen en el ejercicio de sus funciones o actividades'"
remover,'m. Tierra hollada por donde se transita habitualmente'
rendimiento,'tr. Causar tristeza a alguien U. t. c. intr.'
renovar,'f. Conjunto de estrellas que mediante trazos imaginarios forman un dibujo que evoca una figura determinada'
renunciar,'m. Moneda corriente'
reparar,'f. Obra dramática musical cuyo texto se canta total o parcialmente con acompañamiento de orquesta'
